Day	Label	Bag
D2	CrenatedDisc_	CE49
D16	CrenatedDisc_	CE47
D16	CrenatedDisc_	F2
D14	CrenatedDisc_	B2
D36	CrenatedDisc_	F2
D11	CrenatedDisc_	CE50
D18	CrenatedDisc_	E1
D28	CrenatedDisc_	B2
D32	CrenatedDisc_	E1
D14	CrenatedDisc_	B2
D14	CrenatedDisc_	CE47
D23	CrenatedDisc_	CE49
D42	CrenatedDisc_	A1
D37	CrenatedDisc_	B2
D14	CrenatedDisc_	CE50
D16	CrenatedDisc_	CE50
D21	CrenatedDisc_	CE50
D14	CrenatedDisc_	CE50
D42	CrenatedDisc_	H3
D37	CrenatedDisc_	E1
D49	CrenatedDisc_	D3
D37	CrenatedDisc_	B2
D30	CrenatedDisc_	CE50
D26	CrenatedDisc_	CE47
D2	CrenatedDisc_	CE47
D2	CrenatedDisc_	A1
D37	CrenatedDisc_	E1
D5	CrenatedDisc_	F2
D28	CrenatedDisc_	E1
D32	CrenatedDisc_	E1
D37	CrenatedDisc_	E1
D37	CrenatedDisc_	CE50
D42	CrenatedDisc_	CE47
D14	CrenatedDisc_	CE52
D42	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE52
D30	CrenatedDisc_	B2
D2	CrenatedDisc_	A1
D32	CrenatedDisc_	E1
D42	CrenatedDisc_	CE50
D39	CrenatedDisc_	E1
D16	CrenatedDisc_	CE47
D5	CrenatedDisc_	CE47
D14	CrenatedDisc_	CE52
D28	CrenatedDisc_	F2
D16	CrenatedDisc_	B2
D18	CrenatedDisc_	E1
D42	CrenatedDisc_	B2
D14	CrenatedDisc_	CE52
D36	CrenatedDisc_	CE47
D32	CrenatedDisc_	E1
D28	CrenatedDisc_	E1
D23	CrenatedDisc_	CE47
D11	CrenatedDisc_	E1
D16	CrenatedDisc_	B2
D11	CrenatedDisc_	CE50
D18	CrenatedDisc_	E1
D2	CrenatedDisc_	CE47
D23	CrenatedDisc_	CE47
D23	CrenatedDisc_	CE47
D23	CrenatedDisc_	F2
D28	CrenatedDisc_	B2
D28	CrenatedDisc_	CE50
D42	CrenatedDisc_	CE52
D21	CrenatedDisc_	E1
D16	CrenatedDisc_	F2
D2	CrenatedDisc_	A1
D18	CrenatedDisc_	E1
D29	CrenatedDisc_	CE49
D32	CrenatedDisc_	CE50
D42	CrenatedDisc_	A1
D14	CrenatedDisc_	CE47
D21	CrenatedDisc_	E1
D32	CrenatedDisc_	B2
D23	CrenatedDisc_	CE49
D30	CrenatedDisc_	B2
D42	CrenatedDisc_	E1
D18	CrenatedDisc_	E1
D14	CrenatedDisc_	CE50
D9	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE47
D14	CrenatedDisc_	CE52
D42	CrenatedDisc_	CE47
D9	CrenatedDisc_	E1
D42	CrenatedDisc_	H3
D11	CrenatedDisc_	E1
D28	CrenatedDisc_	CE50
D14	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE49
D29	CrenatedDisc_	CE49
D29	CrenatedDisc_	CE49
D30	CrenatedDisc_	B2
D29	CrenatedDisc_	CE47
D14	CrenatedDisc_	CE52
D2	CrenatedDisc_	A1
D9	CrenatedDisc_	CE50
D18	CrenatedDisc_	B2
D49	CrenatedDisc_	D3
D37	CrenatedDisc_	B2
D21	CrenatedDisc_	E1
D42	CrenatedDisc_	CE49
D9	CrenatedDisc_	CE50
D32	CrenatedDisc_	E1
D42	CrenatedDisc_	A1
D42	CrenatedDisc_	H3
D14	CrenatedDisc_	A1
D14	CrenatedDisc_	A1
D42	CrenatedDisc_	E1
D18	CrenatedDisc_	B2
D28	CrenatedDisc_	E1
D36	CrenatedDisc_	F2
D39	CrenatedDisc_	CE50
D26	CrenatedDisc_	F2
D9	CrenatedDisc_	E1
D26	CrenatedDisc_	F2
D42	CrenatedDisc_	F2
D23	CrenatedDisc_	CE49
D23	CrenatedDisc_	E1
D9	CrenatedDisc_	CE47
D37	CrenatedDisc_	CE50
D37	CrenatedDisc_	B2
D9	CrenatedDisc_	E1
D26	CrenatedDisc_	CE49
D32	CrenatedDisc_	CE50
D14	CrenatedDisc_	E1
D2	CrenatedDisc_	CE49
D42	CrenatedDisc_	CE52
D2	CrenatedDisc_	CE52
D21	CrenatedDisc_	CE50
D23	CrenatedDisc_	CE50
D49	CrenatedDisc_	D3
D37	CrenatedDisc_	CE50
D14	CrenatedDisc_	CE52
D36	CrenatedDisc_	F2
D26	CrenatedDisc_	CE47
D2	CrenatedDisc_	A1
D42	CrenatedDisc_	CE47
D42	CrenatedDisc_	CE47
D9	CrenatedDisc_	CE49
D37	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE52
D36	CrenatedDisc_	CE47
D28	CrenatedDisc_	CE49
D2	CrenatedDisc_	F2
D42	CrenatedDisc_	CE47
D37	CrenatedDisc_	B2
D2	CrenatedDisc_	CE52
D29	CrenatedDisc_	CE49
D32	CrenatedDisc_	CE50
D36	CrenatedDisc_	CE47
D11	CrenatedDisc_	CE50
D36	CrenatedDisc_	CE47
D26	CrenatedDisc_	CE49
D2	CrenatedDisc_	A1
D42	CrenatedDisc_	CE52
D36	CrenatedDisc_	F2
D42	CrenatedDisc_	B2
D14	CrenatedDisc_	A1
D14	CrenatedDisc_	CE52
D14	CrenatedDisc_	E1
D9	CrenatedDisc_	E1
D42	CrenatedDisc_	A1
D32	CrenatedDisc_	CE50
D2	CrenatedDisc_	A1
D16	CrenatedDisc_	E1
D42	CrenatedDisc_	H3
D2	CrenatedDisc_	A1
D30	CrenatedDisc_	CE50
D18	CrenatedDisc_	CE50
D16	CrenatedDisc_	E1
D28	CrenatedDisc_	E1
D26	CrenatedDisc_	CE47
D29	CrenatedDisc_	F2
D9	CrenatedDisc_	CE50
D11	CrenatedDisc_	CE50
D42	CrenatedDisc_	CE52
D29	CrenatedDisc_	CE49
D14	CrenatedDisc_	CE50
D39	CrenatedDisc_	CE50
D16	CrenatedDisc_	CE49
D37	CrenatedDisc_	E1
D28	CrenatedDisc_	CE50
D18	CrenatedDisc_	CE50
D14	CrenatedDisc_	A1
D37	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE49
D23	CrenatedDisc_	CE47
D16	CrenatedDisc_	CE47
D28	CrenatedDisc_	E1
D37	CrenatedDisc_	B2
D28	CrenatedDisc_	F2
D32	CrenatedDisc_	B2
D23	CrenatedDisc_	CE47
D37	CrenatedDisc_	CE50
D14	CrenatedDisc_	B2
D28	CrenatedDisc_	F2
D30	CrenatedDisc_	E1
D26	CrenatedDisc_	CE49
D14	CrenatedDisc_	CE47
D42	CrenatedDisc_	A1
D21	CrenatedDisc_	E1
D42	CrenatedDisc_	H3
D30	CrenatedDisc_	E1
D2	CrenatedDisc_	CE52
D5	CrenatedDisc_	F2
D14	CrenatedDisc_	F2
D14	CrenatedDisc_	A1
D37	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE52
D42	CrenatedDisc_	CE49
D36	CrenatedDisc_	CE47
D29	CrenatedDisc_	CE47
D36	CrenatedDisc_	CE49
D18	CrenatedDisc_	CE50
D9	CrenatedDisc_	E1
D26	CrenatedDisc_	CE49
D23	CrenatedDisc_	E1
D21	CrenatedDisc_	E1
D16	CrenatedDisc_	CE47
D42	CrenatedDisc_	CE52
D21	CrenatedDisc_	E1
D36	CrenatedDisc_	F2
D16	CrenatedDisc_	CE49
D23	CrenatedDisc_	CE50
D42	CrenatedDisc_	H3
D42	CrenatedDisc_	CE52
D11	CrenatedDisc_	E1
D2	CrenatedDisc_	CE52
D23	CrenatedDisc_	F2
D26	CrenatedDisc_	CE49
D42	CrenatedDisc_	CE47
D49	CrenatedDisc_	D3
D14	CrenatedDisc_	F2
D42	CrenatedDisc_	CE50
D14	CrenatedDisc_	CE47
D2	CrenatedDisc_	CE52
D42	CrenatedDisc_	CE50
D37	CrenatedDisc_	CE50
D16	CrenatedDisc_	E1
D16	CrenatedDisc_	B2
D42	CrenatedDisc_	CE50
D28	CrenatedDisc_	CE47
D28	CrenatedDisc_	E1
D16	CrenatedDisc_	B2
D37	CrenatedDisc_	CE50
D42	CrenatedDisc_	H3
D42	CrenatedDisc_	H3
D42	CrenatedDisc_	H3
D36	CrenatedDisc_	CE49
D2	CrenatedDisc_	CE52
D16	CrenatedDisc_	B2
D29	CrenatedDisc_	F2
D11	CrenatedDisc_	B2
D11	CrenatedDisc_	CE50
D14	CrenatedDisc_	A1
D2	CrenatedDisc_	A1
D42	CrenatedDisc_	B2
D16	CrenatedDisc_	CE50
D29	CrenatedDisc_	F2
D18	CrenatedDisc_	B2
D2	CrenatedDisc_	CE52
D29	CrenatedDisc_	CE47
D39	CrenatedDisc_	E1
D36	CrenatedDisc_	CE49
D14	CrenatedDisc_	CE52
D30	CrenatedDisc_	B2
D14	CrenatedDisc_	E1
D21	CrenatedDisc_	E1
D32	CrenatedDisc_	CE50
D42	CrenatedDisc_	H3
D2	CrenatedDisc_	CE47
D37	CrenatedDisc_	CE50
D29	CrenatedDisc_	CE49
D29	CrenatedDisc_	CE47
D42	CrenatedDisc_	CE52
D9	CrenatedDisc_	CE47
D14	CrenatedDisc_	F2
D2	CrenatedDisc_	CE52
D2	CrenatedDisc_	CE52
D14	CrenatedDisc_	CE47
D14	CrenatedDisc_	CE52
D29	CrenatedDisc_	CE47
D14	CrenatedDisc_	A1
D9	CrenatedDisc_	CE47
D39	CrenatedDisc_	B2
D26	CrenatedDisc_	F2
D42	CrenatedDisc_	A1
D42	CrenatedDisc_	CE52
D42	CrenatedDisc_	CE47
D39	CrenatedDisc_	CE50
D37	CrenatedDisc_	E1
D23	CrenatedDisc_	B2
D14	CrenatedDisc_	CE52
D9	CrenatedDisc_	B2
D11	CrenatedDisc_	E1
D42	CrenatedDisc_	F2
D39	CrenatedDisc_	CE50
D36	CrenatedDisc_	CE47
D2	CrenatedDisc_	CE52
D28	CrenatedDisc_	CE50
D9	CrenatedDisc_	E1
D14	CrenatedDisc_	CE47
D49	CrenatedDisc_	D3
D2	CrenatedDisc_	CE52
D42	CrenatedDisc_	CE52
D42	CrenatedDisc_	E1
D42	CrenatedDisc_	A1
D16	CrenatedDisc_	CE49
D30	CrenatedDisc_	CE50
D9	CrenatedDisc_	E1
D21	CrenatedDisc_	CE50
D21	CrenatedDisc_	E1
D36	CrenatedDisc_	CE49
D36	CrenatedDisc_	CE47
D28	CrenatedDisc_	CE49
D5	CrenatedDisc_	CE47
D23	CrenatedDisc_	CE49
D30	CrenatedDisc_	B2
D29	CrenatedDisc_	CE47
D14	CrenatedDisc_	CE52
D5	CrenatedDisc_	CE47
D11	CrenatedDisc_	E1
D37	CrenatedDisc_	CE50
D14	CrenatedDisc_	B2
D14	CrenatedDisc_	CE50
D14	CrenatedDisc_	CE52
D9	CrenatedDisc_	CE47
D39	CrenatedDisc_	B2
D42	CrenatedDisc_	CE50
D14	CrenatedDisc_	CE49
D2	CrenatedDisc_	A1
D49	CrenatedDisc_	D3
D14	CrenatedDisc_	CE52
D42	CrenatedDisc_	H3
D9	CrenatedDisc_	E1
D9	CrenatedDisc_	F2
D14	CrenatedDisc_	CE49
D30	CrenatedDisc_	E1
D39	CrenatedDisc_	B2
D28	CrenatedDisc_	B2
D9	CrenatedDisc_	CE49
D14	CrenatedDisc_	CE52
D2	CrenatedDisc_	F2
D42	CrenatedDisc_	CE52
D9	CrenatedDisc_	CE49
D37	CrenatedDisc_	CE50
D14	CrenatedDisc_	CE47
D11	CrenatedDisc_	B2
D2	CrenatedDisc_	A1
D14	CrenatedDisc_	CE52
D14	CrenatedDisc_	CE50
D9	CrenatedDisc_	E1
D42	CrenatedDisc_	H3
D9	CrenatedDisc_	E1
D42	CrenatedDisc_	B2
D16	CrenatedDisc_	B2
D9	CrenatedDisc_	B2
D9	CrenatedDisc_	CE50
D42	CrenatedDisc_	H3
D42	CrenatedDisc_	A1
D5	CrenatedDisc_	CE49
D21	CrenatedDisc_	B2
D28	CrenatedDisc_	CE49
D26	CrenatedDisc_	F2
D11	CrenatedDisc_	B2
D11	CrenatedDisc_	CE50
D42	CrenatedDisc_	A1
D14	CrenatedDisc_	A1
D14	CrenatedDisc_	B2
D21	CrenatedDisc_	B2
D16	CrenatedDisc_	E1
D5	CrenatedDisc_	CE49
D37	CrenatedDisc_	E1
D42	CrenatedDisc_	CE47
D21	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE52
D2	CrenatedDisc_	A1
D9	CrenatedDisc_	CE49
D11	CrenatedDisc_	E1
D42	CrenatedDisc_	CE47
D9	CrenatedDisc_	B2
D30	CrenatedDisc_	B2
D39	CrenatedDisc_	E1
D23	CrenatedDisc_	CE49
D14	CrenatedDisc_	CE52
D23	CrenatedDisc_	CE50
D21	CrenatedDisc_	E1
D2	CrenatedDisc_	CE52
D11	CrenatedDisc_	B2
D42	CrenatedDisc_	H3
D42	CrenatedDisc_	F2
D42	CrenatedDisc_	B2
D9	CrenatedDisc_	E1
D9	CrenatedDisc_	CE49
D18	CrenatedDisc_	B2
D14	CrenatedDisc_	A1
D26	CrenatedDisc_	CE49
D14	CrenatedDisc_	CE50
D37	CrenatedDisc_	E1
D29	CrenatedDisc_	CE47
D14	CrenatedDisc_	CE47
D42	CrenatedDisc_	E1
D16	CrenatedDisc_	B2
D42	CrenatedDisc_	H3
D37	CrenatedDisc_	CE50
D14	CrenatedDisc_	CE52
D2	CrenatedDisc_	F2
D32	CrenatedDisc_	B2
D28	CrenatedDisc_	CE47
D23	CrenatedDisc_	CE50
D42	CrenatedDisc_	A1
D49	CrenatedDisc_	D3
D11	CrenatedDisc_	E1
D37	CrenatedDisc_	B2
D9	CrenatedDisc_	B2
D2	CrenatedDisc_	F2
D9	CrenatedDisc_	B2
D26	CrenatedDisc_	CE47
D14	CrenatedDisc_	CE47
D23	CrenatedDisc_	F2
D42	CrenatedDisc_	A1
D9	CrenatedDisc_	CE47
D5	CrenatedDisc_	CE49
D18	CrenatedDisc_	E1
D14	CrenatedDisc_	A1
D14	CrenatedDisc_	F2
D2	CrenatedDisc_	CE52
D28	CrenatedDisc_	CE47
D42	CrenatedDisc_	A1
D14	CrenatedDisc_	CE52
D32	CrenatedDisc_	CE50
D42	CrenatedDisc_	A1
D29	CrenatedDisc_	CE49
D11	CrenatedDisc_	CE50
D2	CrenatedDisc_	A1
D11	CrenatedDisc_	B2
D42	CrenatedDisc_	H3
D23	CrenatedDisc_	CE50
D23	CrenatedDisc_	E1
D28	CrenatedDisc_	F2
D42	CrenatedDisc_	H3
D21	CrenatedDisc_	CE50
D9	CrenatedDisc_	CE50
D30	CrenatedDisc_	CE50
D9	CrenatedDisc_	B2
D5	CrenatedDisc_	CE47
D5	CrenatedDisc_	CE47
D14	CrenatedDisc_	CE52
D21	CrenatedDisc_	B2
D30	CrenatedDisc_	B2
D14	CrenatedDisc_	CE49
D30	CrenatedDisc_	E1
D42	CrenatedDisc_	CE50
D36	CrenatedDisc_	F2
D42	CrenatedDisc_	CE49
D2	CrenatedDisc_	A1
D28	CrenatedDisc_	B2
D28	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE47
D32	CrenatedDisc_	B2
D32	CrenatedDisc_	E1
D9	CrenatedDisc_	F2
D42	CrenatedDisc_	CE47
D42	CrenatedDisc_	CE52
D16	CrenatedDisc_	B2
D9	CrenatedDisc_	CE47
D23	CrenatedDisc_	F2
D32	CrenatedDisc_	CE50
D9	CrenatedDisc_	E1
D42	CrenatedDisc_	H3
D28	CrenatedDisc_	B2
D42	CrenatedDisc_	H3
D28	CrenatedDisc_	CE47
D23	CrenatedDisc_	CE47
D16	CrenatedDisc_	B2
D2	CrenatedDisc_	F2
D2	CrenatedDisc_	CE52
D26	CrenatedDisc_	CE47
D42	CrenatedDisc_	E1
D28	CrenatedDisc_	CE50
D29	CrenatedDisc_	CE49
D42	CrenatedDisc_	A1
D2	CrenatedDisc_	CE52
D39	CrenatedDisc_	CE50
D14	CrenatedDisc_	CE49
D2	CrenatedDisc_	CE47
D49	CrenatedDisc_	D3
D14	CrenatedDisc_	E1
D2	CrenatedDisc_	A1
D28	CrenatedDisc_	CE47
D5	CrenatedDisc_	CE49
D42	CrenatedDisc_	CE52
D28	CrenatedDisc_	CE47
D42	CrenatedDisc_	H3
D23	CrenatedDisc_	CE49
D37	CrenatedDisc_	E1
D28	CrenatedDisc_	F2
D28	CrenatedDisc_	B2
D21	CrenatedDisc_	E1
D37	CrenatedDisc_	E1
D9	CrenatedDisc_	CE50
D32	CrenatedDisc_	E1
D30	CrenatedDisc_	B2
D2	CrenatedDisc_	A1
D2	CrenatedDisc_	CE47
D18	CrenatedDisc_	E1
D14	CrenatedDisc_	B2
D32	CrenatedDisc_	B2
D21	CrenatedDisc_	CE50
D30	CrenatedDisc_	CE50
D2	CrenatedDisc_	A1
D42	CrenatedDisc_	H3
D49	CrenatedDisc_	D3
D21	CrenatedDisc_	B2
D37	CrenatedDisc_	CE50
D26	CrenatedDisc_	CE49
D16	CrenatedDisc_	CE47
D16	CrenatedDisc_	CE49
D2	CrenatedDisc_	F2
D49	CrenatedDisc_	D3
D14	CrenatedDisc_	E1
D2	CrenatedDisc_	CE52
D9	CrenatedDisc_	CE50
D9	CrenatedDisc_	CE50
D14	CrenatedDisc_	CE49
D2	CrenatedDisc_	CE49
D9	CrenatedDisc_	CE49
D49	CrenatedDisc_	D3
D2	CrenatedDisc_	CE47
D2	CrenatedDisc_	CE52
D42	CrenatedDisc_	CE49
D11	CrenatedDisc_	B2
D16	CrenatedDisc_	B2
D14	CrenatedDisc_	CE52
D28	CrenatedDisc_	CE49
D16	CrenatedDisc_	B2
D2	CrenatedDisc_	A1
D32	CrenatedDisc_	CE50
D42	CrenatedDisc_	CE49
D2	CrenatedDisc_	CE47
D32	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE52
D29	CrenatedDisc_	CE49
D5	CrenatedDisc_	F2
D29	CrenatedDisc_	CE47
D11	CrenatedDisc_	CE50
D42	CrenatedDisc_	A1
D18	CrenatedDisc_	E1
D16	CrenatedDisc_	E1
D29	CrenatedDisc_	F2
D42	CrenatedDisc_	CE52
D23	CrenatedDisc_	B2
D2	CrenatedDisc_	CE47
D36	CrenatedDisc_	CE47
D14	CrenatedDisc_	CE52
D16	CrenatedDisc_	F2
D42	CrenatedDisc_	A1
D16	CrenatedDisc_	F2
D21	CrenatedDisc_	CE50
D29	CrenatedDisc_	CE49
D14	CrenatedDisc_	F2
D26	CrenatedDisc_	CE47
D9	CrenatedDisc_	E1
D28	CrenatedDisc_	CE50
D39	CrenatedDisc_	E1
D39	CrenatedDisc_	B2
D42	CrenatedDisc_	A1
D16	CrenatedDisc_	CE50
D26	CrenatedDisc_	CE49
D26	CrenatedDisc_	F2
D28	CrenatedDisc_	CE49
D49	CrenatedDisc_	D3
D28	CrenatedDisc_	CE50
D32	CrenatedDisc_	E1
D2	CrenatedDisc_	CE47
D5	CrenatedDisc_	CE47
D29	CrenatedDisc_	CE49
D28	CrenatedDisc_	CE50
D5	CrenatedDisc_	F2
D23	CrenatedDisc_	E1
D16	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE47
D42	CrenatedDisc_	CE47
D49	CrenatedDisc_	D3
D42	CrenatedDisc_	H3
D21	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE52
D42	CrenatedDisc_	A1
D42	CrenatedDisc_	H3
D29	CrenatedDisc_	CE47
D23	CrenatedDisc_	B2
D42	CrenatedDisc_	CE52
D16	CrenatedDisc_	CE50
D39	CrenatedDisc_	E1
D42	CrenatedDisc_	H3
D28	CrenatedDisc_	F2
D5	CrenatedDisc_	F2
D49	CrenatedDisc_	D3
D39	CrenatedDisc_	B2
D11	CrenatedDisc_	E1
D49	CrenatedDisc_	D3
D14	CrenatedDisc_	CE52
D39	CrenatedDisc_	CE50
D16	CrenatedDisc_	E1
D42	CrenatedDisc_	H3
D42	CrenatedDisc_	F2
D14	CrenatedDisc_	CE52
D18	CrenatedDisc_	E1
D16	CrenatedDisc_	B2
D23	CrenatedDisc_	E1
D2	CrenatedDisc_	CE52
D42	CrenatedDisc_	E1
D5	CrenatedDisc_	CE49
D14	CrenatedDisc_	CE52
D23	CrenatedDisc_	CE50
D42	CrenatedDisc_	B2
D42	CrenatedDisc_	H3
D11	CrenatedDisc_	CE50
D2	CrenatedDisc_	A1
D5	CrenatedDisc_	F2
D16	CrenatedDisc_	E1
D18	CrenatedDisc_	E1
D14	CrenatedDisc_	CE52
D11	CrenatedDisc_	E1
D32	CrenatedDisc_	B2
D18	CrenatedDisc_	E1
D11	CrenatedDisc_	CE50
D14	CrenatedDisc_	F2
D2	CrenatedDisc_	A1
D42	CrenatedDisc_	H3
D37	CrenatedDisc_	CE50
D42	CrenatedDisc_	CE52
D42	CrenatedDisc_	CE47
D18	CrenatedDisc_	CE50
D9	CrenatedDisc_	CE47
D16	CrenatedDisc_	F2
D37	CrenatedDisc_	E1
D23	CrenatedDisc_	CE50
D37	CrenatedDisc_	B2
D49	CrenatedDisc_	D3
D42	CrenatedDisc_	A1
D30	CrenatedDisc_	E1
D2	CrenatedDisc_	A1
D14	CrenatedDisc_	CE49
D28	CrenatedDisc_	CE47
D18	CrenatedDisc_	B2
D42	CrenatedDisc_	CE52
D9	CrenatedDisc_	B2
D32	CrenatedDisc_	CE50
D14	CrenatedDisc_	CE47
D42	CrenatedDisc_	E1
D2	CrenatedDisc_	CE47
